Categoría,Artista,Título,Año,URL
Clásicos infalibles,"Earth, Wind & Fire",September,1978,https://open.spotify.com/search/Earth%2C%20Wind%20%26%20Fire%20September
Clásicos infalibles,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),1987,https://open.spotify.com/search/Whitney%20Houston%20I%20Wanna%20Dance%20with%20Somebody%20%28Who%20Loves%20Me%29
Clásicos infalibles,a-ha,Take on Me,1985,https://open.spotify.com/search/a-ha%20Take%20on%20Me
Clásicos infalibles,Rick Astley,Never Gonna Give You Up,1987,https://open.spotify.com/search/Rick%20Astley%20Never%20Gonna%20Give%20You%20Up
Clásicos infalibles,The Weather Girls,It's Raining Men,1982,https://open.spotify.com/search/The%20Weather%20Girls%20It%27s%20Raining%20Men
Clásicos infalibles,Village People,Y.M.C.A.,1978,https://open.spotify.com/search/Village%20People%20Y.M.C.A.
Clásicos infalibles,Bee Gees,Stayin' Alive,1977,https://open.spotify.com/search/Bee%20Gees%20Stayin%27%20Alive
Clásicos infalibles,Queen,Don't Stop Me Now,1978,https://open.spotify.com/search/Queen%20Don%27t%20Stop%20Me%20Now
Clásicos infalibles,Queen,I Want to Break Free,1984,https://open.spotify.com/search/Queen%20I%20Want%20to%20Break%20Free
Clásicos infalibles,The Pointer Sisters,I'm So Excited,1982,https://open.spotify.com/search/The%20Pointer%20Sisters%20I%27m%20So%20Excited
Clásicos infalibles,Irene Cara,Flashdance... What a Feeling,1983,https://open.spotify.com/search/Irene%20Cara%20Flashdance...%20What%20a%20Feeling
Clásicos infalibles,Katrina and the Waves,Walking on Sunshine,1985,https://open.spotify.com/search/Katrina%20and%20the%20Waves%20Walking%20on%20Sunshine
Clásicos infalibles,Soft Cell,Tainted Love,1981,https://open.spotify.com/search/Soft%20Cell%20Tainted%20Love
Clásicos infalibles,Laura Branigan,Gloria,1982,https://open.spotify.com/search/Laura%20Branigan%20Gloria
Clásicos infalibles,Laura Branigan,Self Control,1984,https://open.spotify.com/search/Laura%20Branigan%20Self%20Control
Clásicos infalibles,Irene Cara,Fame,1980,https://open.spotify.com/search/Irene%20Cara%20Fame
Clásicos infalibles,Tina Turner,The Best,1989,https://open.spotify.com/search/Tina%20Turner%20The%20Best
Clásicos infalibles,Bryan Adams,Summer of '69,1984,https://open.spotify.com/search/Bryan%20Adams%20Summer%20of%20%2769
Clásicos infalibles,Bon Jovi,Livin' on a Prayer,1986,https://open.spotify.com/search/Bon%20Jovi%20Livin%27%20on%20a%20Prayer
Clásicos infalibles,Europe,The Final Countdown,1986,https://open.spotify.com/search/Europe%20The%20Final%20Countdown
Clásicos infalibles,Wham!,Wake Me Up Before You Go-Go,1984,https://open.spotify.com/search/Wham%21%20Wake%20Me%20Up%20Before%20You%20Go-Go
Clásicos infalibles,Culture Club,Karma Chameleon,1983,https://open.spotify.com/search/Culture%20Club%20Karma%20Chameleon
Clásicos infalibles,The Human League,Don't You Want Me,1981,https://open.spotify.com/search/The%20Human%20League%20Don%27t%20You%20Want%20Me
Clásicos infalibles,Bananarama,Venus,1986,https://open.spotify.com/search/Bananarama%20Venus
Clásicos infalibles,Pet Shop Boys,It's a Sin,1987,https://open.spotify.com/search/Pet%20Shop%20Boys%20It%27s%20a%20Sin
Clásicos infalibles,Erasure,A Little Respect,1988,https://open.spotify.com/search/Erasure%20A%20Little%20Respect
Clásicos infalibles,George Michael,Freedom! '90,1990,https://open.spotify.com/search/George%20Michael%20Freedom%21%20%2790
Clásicos infalibles,Prince,1999,1982,https://open.spotify.com/search/Prince%201999
Clásicos infalibles,Chaka Khan,I Feel for You,1984,https://open.spotify.com/search/Chaka%20Khan%20I%20Feel%20for%20You
Clásicos infalibles,The Pointer Sisters,Jump (For My Love),1983,https://open.spotify.com/search/The%20Pointer%20Sisters%20Jump%20%28For%20My%20Love%29
"La conoces, no sabes el título",Darude,Sandstorm,1999,https://open.spotify.com/search/Darude%20Sandstorm
"La conoces, no sabes el título",Zombie Nation,Kernkraft 400,1999,https://open.spotify.com/search/Zombie%20Nation%20Kernkraft%20400
"La conoces, no sabes el título",Bellini,Samba de Janeiro,1997,https://open.spotify.com/search/Bellini%20Samba%20de%20Janeiro
"La conoces, no sabes el título",Safri Duo,Played-A-Live (The Bongo Song),2000,https://open.spotify.com/search/Safri%20Duo%20Played-A-Live%20%28The%20Bongo%20Song%29
"La conoces, no sabes el título",Robert Miles,Children,1995,https://open.spotify.com/search/Robert%20Miles%20Children
"La conoces, no sabes el título",ATB,9 PM (Till I Come),1998,https://open.spotify.com/search/ATB%209%20PM%20%28Till%20I%20Come%29
"La conoces, no sabes el título",Alice Deejay,Better Off Alone,1999,https://open.spotify.com/search/Alice%20Deejay%20Better%20Off%20Alone
"La conoces, no sabes el título",Gigi D'Agostino,L'Amour Toujours,1999,https://open.spotify.com/search/Gigi%20D%27Agostino%20L%27Amour%20Toujours
"La conoces, no sabes el título",Guru Josh Project,Infinity 2008,2008,https://open.spotify.com/search/Guru%20Josh%20Project%20Infinity%202008
"La conoces, no sabes el título",Edward Maya & Vika Jigulina,Stereo Love,2009,https://open.spotify.com/search/Edward%20Maya%20%26%20Vika%20Jigulina%20Stereo%20Love
"La conoces, no sabes el título",Eric Prydz,Call on Me,2004,https://open.spotify.com/search/Eric%20Prydz%20Call%20on%20Me
"La conoces, no sabes el título",Fedde Le Grand,Put Your Hands Up for Detroit,2006,https://open.spotify.com/search/Fedde%20Le%20Grand%20Put%20Your%20Hands%20Up%20for%20Detroit
"La conoces, no sabes el título",The Chemical Brothers,Galvanize,2005,https://open.spotify.com/search/The%20Chemical%20Brothers%20Galvanize
"La conoces, no sabes el título",Fatboy Slim,The Rockafeller Skank,1998,https://open.spotify.com/search/Fatboy%20Slim%20The%20Rockafeller%20Skank
"La conoces, no sabes el título",Fatboy Slim,Praise You,1998,https://open.spotify.com/search/Fatboy%20Slim%20Praise%20You
"La conoces, no sabes el título",The Prodigy,Omen,2009,https://open.spotify.com/search/The%20Prodigy%20Omen
"La conoces, no sabes el título",Moby,Porcelain,1999,https://open.spotify.com/search/Moby%20Porcelain
"La conoces, no sabes el título",Mr. Oizo,Flat Beat,1999,https://open.spotify.com/search/Mr.%20Oizo%20Flat%20Beat
"La conoces, no sabes el título",Da Hool,Meet Her at the Loveparade,1997,https://open.spotify.com/search/Da%20Hool%20Meet%20Her%20at%20the%20Loveparade
"La conoces, no sabes el título",Mauro Picotto,Komodo (Save a Soul),2000,https://open.spotify.com/search/Mauro%20Picotto%20Komodo%20%28Save%20a%20Soul%29
"La conoces, no sabes el título",PPK,ResuRection,2001,https://open.spotify.com/search/PPK%20ResuRection
"La conoces, no sabes el título",Scooter,The Logical Song,2001,https://open.spotify.com/search/Scooter%20The%20Logical%20Song
"La conoces, no sabes el título",DJ Jean,The Launch,1999,https://open.spotify.com/search/DJ%20Jean%20The%20Launch
"La conoces, no sabes el título",DJ Quicksilver,Bellissima,1996,https://open.spotify.com/search/DJ%20Quicksilver%20Bellissima
"La conoces, no sabes el título",Paul van Dyk,For an Angel,1998,https://open.spotify.com/search/Paul%20van%20Dyk%20For%20an%20Angel
"La conoces, no sabes el título",Energy 52,Café del Mar '98,1998,https://open.spotify.com/search/Energy%2052%20Caf%C3%A9%20del%20Mar%20%2798
"La conoces, no sabes el título",Darude,Feel the Beat,2000,https://open.spotify.com/search/Darude%20Feel%20the%20Beat
"La conoces, no sabes el título",Mason vs. Princess Superstar,Perfect (Exceeder),2006,https://open.spotify.com/search/Mason%20vs.%20Princess%20Superstar%20Perfect%20%28Exceeder%29
"La conoces, no sabes el título",The Tamperer feat. Maya,Feel It,1998,https://open.spotify.com/search/The%20Tamperer%20feat.%20Maya%20Feel%20It
"La conoces, no sabes el título",The Bucketheads,The Bomb! (These Sounds Fall into My Mind),1995,https://open.spotify.com/search/The%20Bucketheads%20The%20Bomb%21%20%28These%20Sounds%20Fall%20into%20My%20Mind%29
Eurodance y house,Technotronic,Pump Up the Jam,1989,https://open.spotify.com/search/Technotronic%20Pump%20Up%20the%20Jam
Eurodance y house,Snap!,Rhythm Is a Dancer,1992,https://open.spotify.com/search/Snap%21%20Rhythm%20Is%20a%20Dancer
Eurodance y house,Haddaway,What Is Love,1993,https://open.spotify.com/search/Haddaway%20What%20Is%20Love
Eurodance y house,Culture Beat,Mr. Vain,1993,https://open.spotify.com/search/Culture%20Beat%20Mr.%20Vain
Eurodance y house,2 Unlimited,No Limit,1993,https://open.spotify.com/search/2%20Unlimited%20No%20Limit
Eurodance y house,La Bouche,Be My Lover,1995,https://open.spotify.com/search/La%20Bouche%20Be%20My%20Lover
Eurodance y house,Real McCoy,Another Night,1993,https://open.spotify.com/search/Real%20McCoy%20Another%20Night
Eurodance y house,Scatman John,Scatman (Ski-Ba-Bop-Ba-Dop-Bop),1994,https://open.spotify.com/search/Scatman%20John%20Scatman%20%28Ski-Ba-Bop-Ba-Dop-Bop%29
Eurodance y house,Eiffel 65,Blue (Da Ba Dee),1998,https://open.spotify.com/search/Eiffel%2065%20Blue%20%28Da%20Ba%20Dee%29
Eurodance y house,ATC,Around the World (La La La La La),2000,https://open.spotify.com/search/ATC%20Around%20the%20World%20%28La%20La%20La%20La%20La%29
Eurodance y house,O-Zone,Dragostea Din Tei,2003,https://open.spotify.com/search/O-Zone%20Dragostea%20Din%20Tei
Eurodance y house,Basshunter,Now You're Gone,2006,https://open.spotify.com/search/Basshunter%20Now%20You%27re%20Gone
Eurodance y house,Cascada,Everytime We Touch,2005,https://open.spotify.com/search/Cascada%20Everytime%20We%20Touch
Eurodance y house,Ian Van Dahl,Castles in the Sky,2000,https://open.spotify.com/search/Ian%20Van%20Dahl%20Castles%20in%20the%20Sky
Eurodance y house,Lasgo,Something,2001,https://open.spotify.com/search/Lasgo%20Something
Eurodance y house,Milk Inc.,Walk on Water,2000,https://open.spotify.com/search/Milk%20Inc.%20Walk%20on%20Water
Eurodance y house,Sylver,Turn the Tide,2000,https://open.spotify.com/search/Sylver%20Turn%20the%20Tide
Eurodance y house,Fragma,Toca's Miracle,2000,https://open.spotify.com/search/Fragma%20Toca%27s%20Miracle
Eurodance y house,Sonique,It Feels So Good,1998,https://open.spotify.com/search/Sonique%20It%20Feels%20So%20Good
Eurodance y house,Moloko,Sing It Back (Boris Dlugosch Mix),1999,https://open.spotify.com/search/Moloko%20Sing%20It%20Back%20%28Boris%20Dlugosch%20Mix%29
Eurodance y house,Stardust,Music Sounds Better with You,1998,https://open.spotify.com/search/Stardust%20Music%20Sounds%20Better%20with%20You
Eurodance y house,Cassius,1999,1998,https://open.spotify.com/search/Cassius%201999
