Artista,Título,Año,URL
Rosalía,Reliquia,2025,https://open.spotify.com/intl-es/track/4ORvXsPK9AJmDzm36BYcdy
Beyonce (ft Jay-Z),Crazy in love,2003,https://open.spotify.com/intl-es/track/5IVuqXILoxVWvWEPm82Jxr
Mónica Naranjo,Desátame,1997,https://open.spotify.com/intl-es/track/2a7Ufmq13NRMavrBYUN5Ex
Gloria Gaynor,I Will Survive,1978,https://open.spotify.com/intl-es/track/7rIovIsXE6kMn629b7kDig
Bonnie Tyler,Holding out for a hero,1986,https://open.spotify.com/intl-es/track/5Hyr47BBGpvOfcykSCcaw9
Lady Gaga,Dance in the dark,2009,https://open.spotify.com/intl-es/track/6Qh10T7u43YciJsJa99R3v
Madonna,Like a prayer,1989,https://open.spotify.com/intl-es/track/2v7ywbUzCgcVohHaKUcacV
Cyndi Lauper,Girls Just Wanna Have Fun,1983,https://open.spotify.com/intl-es/track/4y1LsJpmMti1PfRQV9AWWe
Crystal Waters,Gypsy Woman (She's homeless) (La Da Dee Laa Da Da),1991,https://open.spotify.com/intl-es/track/1SShxVVBeZBCY7WddnksPz
Cher,Believe,1998,https://open.spotify.com/intl-es/track/2goLsvvODILDzeeiT4dAoR
Kylie Minogue,All the lovers,2010,https://open.spotify.com/intl-es/track/18JKvOJ3cXbGUePQWT3bLW
Rina Sawayama,Comme des garçons (Like the boys),2020,https://open.spotify.com/intl-es/track/43bYs8QkPdCdy5esfnmU1T
SIA,Cheap thrills,2016,https://open.spotify.com/intl-es/track/27SdWb2rFzO6GWiYDBTD9j
Donna Summer,I feel love,1977,https://open.spotify.com/intl-es/track/1vCBk33l9HaWp5FOnhSGxk
Diana Ross,I'm Comming Out,1980,https://open.spotify.com/intl-es/track/3SnGymj6ijE2iuUfWxLo1q
Bad Gyal,Da Me,2025,https://open.spotify.com/intl-es/track/4ppQIsBpwNRKjOPPBZTgd0
Nicky Minaj,Starships,2012,https://open.spotify.com/intl-es/track/2EBCVPNAG46nbgs6jXPGvv
Duffy,Mercy,2008,https://open.spotify.com/intl-es/track/1zusIxNqJu8i4g6P6hJ2Qa
Diana Ross,Upside Down,1980,https://open.spotify.com/intl-es/track/3pbtBomO4Zt5gGiqsYeiBH
