Artista,Título,Año,URL
ABBA,Dancing queen,1976,https://open.spotify.com/intl-es/track/0GjEhVFGZW8afUYGChu3Rr
Alcazar,Crying at the Discoteque,2000,https://open.spotify.com/intl-es/track/7gQAFGUyHPcY0cQNPsjMf0
Bonnie M,Rasputin,1994,https://open.spotify.com/intl-es/track/5lWSa1rmuSL6OBPOnkAqoa
Benny Benassi,Satisfaction,2002,https://open.spotify.com/intl-es/track/2mRNUz2RbAFf0AkPeQWelt
Kaoma,Lambada,1989,https://open.spotify.com/intl-es/track/6xepovPqjvrkEw9Y5AMmTm
Günther,Ding dong song,2004,https://open.spotify.com/intl-es/track/2LELFaNglE9B5xlcmd4qtQ
Hampton The Hamster,The HampsterDance Song,2000,https://open.spotify.com/intl-es/track/0ouSkB2t2fGeW60MPcvmXl
Troye Sivan,Rush,2023,https://open.spotify.com/intl-es/track/4ZnkygoWLzcGbQYCm3lkae
Dead Or Alive,You spin me round (like a record),1985,https://open.spotify.com/intl-es/track/1ChulFMnwxoD74Me8eX2TU
Eurytmics,Sweet Dreams (Are Made of This),1983,https://open.spotify.com/intl-es/track/1TfqLAPs4K3s2rJMoCokcS
Vengaboys,Boom boom boom boom,1999,https://open.spotify.com/intl-es/track/5N6M8yDiMV32T6Rkzh8EbW
September,Cry for you,2007,https://open.spotify.com/intl-es/track/1mvZErZBp7WZT3HfGBykao
David Guetta ft. IVE,Supernova Love,2024,https://open.spotify.com/intl-es/track/5sTLGx6c7YRwnrWm6O091n
"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,2021,https://open.spotify.com/intl-es/track/6JIC3hbC28JZKZ8AlAqX8h
Los Beatles,Let It Be,1970,https://open.spotify.com/intl-es/track/7iN1s7xHE4ifF5povM6A48
Michael Jackson,Billie Jean,1982,https://open.spotify.com/intl-es/track/7J1uxwnxfQLu4APicE5Rnj
Journey,Don't Stop Believin',1981,https://open.spotify.com/intl-es/track/77NNZQSqzLNqh2A9JhLRkg
The trammps,Disco Inferno,1976,https://open.spotify.com/intl-es/track/5jUA1njy3h6ynHLvPdEVHt
Toto,Africa,1982,https://open.spotify.com/intl-es/track/2374M0fQpWi3dLnB54qaLX
Gala,Freed from desire,1996,https://open.spotify.com/intl-es/track/3u5N55tHf7hXATSQrjBh2q
Whigfield,Saturday Night,1994,https://open.spotify.com/intl-es/track/7DRm8WnYYJcNgovTZVZDwl
