Artista,Título,Año,URL
"Bebe Rexha, Faithless",New Religion,2026,https://open.spotify.com/track/2Lb9ww5vZAnveWnrFQfAKR
"HUGEL, SOLTO (FR)",Jamaican (Bam Bam),2026,https://open.spotify.com/track/7e4zDInS6tA2jwzphvs2Ay
"ANOTR, 54 Ultra",Talk To You (ft. 54 Ultra),2026,https://open.spotify.com/track/0kl6Ozan3fuUdCl6TlB15v
Slayyyter,DANCE...,2026,https://open.spotify.com/track/5rfOARz6QO73wPATyMtQQZ
"ARIA VEGA, Ryan Castro",CHÉVERE (premium_remix),2026,https://open.spotify.com/track/3CBEVPwR3kUXDoTx1lqFUQ
Ariana Grande,hate that i made you love me,2026,https://open.spotify.com/track/20jbSiX29FDX4oQxBXyUEi
Fcukers,L.U.C.K.Y,2026,https://open.spotify.com/track/1KoTSKG0vs2vbzMvrbpWjp
Omar Courtz,KOKO,2026,https://open.spotify.com/track/1tz7RZirwiuaJw2p0jbdHb
PinkPantheress,Girl Like Me,2026,https://open.spotify.com/track/7aYGCP34Xo6XujY7Ix1DxB
"Prospa, Cloonee, Sybil",Free Your Mind,2026,https://open.spotify.com/track/6TWbY1dq8eYtFiMiGdBlOa
"Tame Impala, JENNIE",Dracula - JENNIE Remix,2026,https://open.spotify.com/track/5yvVYFDUpbnjcnRBgjwTzM
Zara Larsson,Midnight Sun,2025,https://open.spotify.com/track/7N1GSHGlLwXY3lN5gv3QLV
Corona,The Rhythm of the Night,1994,https://open.spotify.com/track/0ofMkI3jzmGCElAOgOLeo3
Paradisio,Bailando - Video Edit,1996,https://open.spotify.com/track/7cG3wfohoNDSp2M8FWrgTg
Jennifer Lopez,Waiting for Tonight,1999,https://open.spotify.com/track/5yaCquc7koPqtgj7v0lwHX
Los Del Rio,Macarena,1993,https://open.spotify.com/track/4oaj36KzXRgDg4McgcTsZK
"Don Omar, Lucenzo",Danza Kuduro,2010,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw
Calvin Harris,Summer,2014,https://open.spotify.com/track/6YUTL4dYpB9xZO5qExPf05
Dua Lipa,Levitating,2020,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
Sabrina Carpenter,Espresso,2024,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
